binID	CADD
enhancers::chr10:102162200-102163800::chr10-102163663-102163730::chr10-102163663-102163730	0.171
enhancers::chr10:102172600-102173800::chr10-102172806-102173405::chr10-102172806-102173405	2.477666667
enhancers::chr10:102184600-102185400::chr10-102185055-102185318::chr10-102185055-102185318	3.038
enhancers::chr10:102261000-102261600::chr10-102261256-102261465::chr10-102261256-102261465	7.6945
enhancers::chr10:102309800-102310400::chr10-102309912-102310268::chr10-102309912-102310268	6.56575
enhancers::chr10:102446800-102447600::chr10-102447572-102447600::chr10-102447572-102447600	19.92
enhancers::chr10:102690000-102690600::chr10-102690138-102690369::chr10-102690138-102690369	4.959
enhancers::chr10:102727200-102728600::chr10-102727535-102727595::chr10-102727535-102727595	6.051
enhancers::chr10:102795600-102797600::chr10-102795864-102796047::chr10-102795864-102796047	3.937
enhancers::chr10:103026200-103027600::chr10-103026567-103026741::chr10-103026567-103026741	1.8125
enhancers::chr10:103253200-103255600::chr10-103253612-103253960::chr10-103253612-103253960	11.29933333
enhancers::chr10:103288600-103290000::chr10-103289023-103289264::chr10-103289023-103289264	7.0495
enhancers::chr10:103296200-103297600::chr10-103296668-103296825::chr10-103296668-103296825	4.33
enhancers::chr10:103309800-103310800::chr10-103309800-103310001::chr10-103309800-103310001	4.621666667
enhancers::chr10:103366600-103369800::chr10-103369302-103369529::chr10-103369302-103369529	4.344
enhancers::chr10:103419800-103421200::chr10-103419903-103420291::chr10-103419903-103420291	16.87
enhancers::chr10:103428000-103429000::chr10-103428138-103428838::chr10-103428138-103428838	14.1315
enhancers::chr10:103431800-103432800::chr10-103432413-103432577::chr10-103432413-103432577	8.999
enhancers::chr10:103557200-103560000::chr10-103557200-103557664::chr10-103557200-103557664	14.4155
enhancers::chr10:103666000-103667800::chr10-103666277-103666937::chr10-103666277-103666937	5.072333333
enhancers::chr10:103679000-103680800::chr10-103680344-103680552::chr10-103680344-103680552	1.78
enhancers::chr10:103696600-103703200::chr10-103701728-103701879::chr10-103701728-103701879	0.033
enhancers::chr10:103715600-103716600::chr10-103715831-103716195::chr10-103715831-103716195	11.91925
enhancers::chr10:103869600-103870400::chr10-103869600-103869671::chr10-103869600-103869671	2.252
enhancers::chr10:103869600-103870400::chr10-103869820-103869960::chr10-103869820-103869960	10.226
enhancers::chr10:10387400-10388200::chr10-10388159-10388200::chr10-10388159-10388200	0.706
enhancers::chr10:103916800-103918000::chr10-103916837-103916922::chr10-103916837-103916922	3.852
enhancers::chr10:103916800-103918000::chr10-103917318-103917785::chr10-103917318-103917785	3.719666667
enhancers::chr10:103919000-103919600::chr10-103919331-103919600::chr10-103919331-103919600	7.46
enhancers::chr10:103923200-103924000::chr10-103923200-103923499::chr10-103923200-103923499	6.004
enhancers::chr10:104100800-104104200::chr10-104101219-104101543::chr10-104101219-104101543	3.806666667
enhancers::chr10:104100800-104104200::chr10-104102232-104102563::chr10-104102232-104102563	8.702666667
enhancers::chr10:104126000-104128200::chr10-104127842-104127954::chr10-104127842-104127954	7.529
enhancers::chr10:104138400-104139200::chr10-104138737-104138957::chr10-104138737-104138957	2.3575
enhancers::chr10:104186800-104187400::chr10-104186800-104186866::chr10-104186800-104186866	5.346
enhancers::chr10:104244800-104246200::chr10-104244947-104245359::chr10-104244947-104245359	1.111
enhancers::chr10:104370400-104374000::chr10-104371291-104371600::chr10-104371291-104371600	2.432
enhancers::chr10:104451400-104452000::chr10-104451574-104451754::chr10-104451574-104451754	15.4
enhancers::chr10:104570800-104571400::chr10-104571070-104571396::chr10-104571070-104571396	3.276
enhancers::chr10:104659400-104660600::chr10-104659799-104660138::chr10-104659799-104660138	2.4488
enhancers::chr10:104724200-104725800::chr10-104724200-104724587::chr10-104724200-104724587	3.1935
enhancers::chr10:104724200-104725800::chr10-104725078-104725653::chr10-104725078-104725653	6.15025
enhancers::chr10:104773000-104773600::chr10-104773262-104773524::chr10-104773262-104773524	9.386
enhancers::chr10:104780800-104783400::chr10-104780909-104781287::chr10-104780909-104781287	2.826
enhancers::chr10:104780800-104783400::chr10-104781671-104782027::chr10-104781671-104782027	5.517
enhancers::chr10:104841400-104844200::chr10-104843490-104843833::chr10-104843490-104843833	3.1145
enhancers::chr10:104975400-104976800::chr10-104976175-104976402::chr10-104976175-104976402	10.331
enhancers::chr10:104986400-104993800::chr10-104987224-104987520::chr10-104987224-104987520	4.9835
enhancers::chr10:105191600-105193200::chr10-105191678-105191865::chr10-105191678-105191865	5.7155
enhancers::chr10:105191600-105193200::chr10-105191997-105192020::chr10-105191997-105192020	1.168
enhancers::chr10:105200600-105208400::chr10-105201740-105201949::chr10-105201740-105201949	2.5655
enhancers::chr10:105369000-105383600::chr10-105377320-105377626::chr10-105377320-105377626	1.098
enhancers::chr10:105369000-105383600::chr10-105381311-105381584::chr10-105381311-105381584	6.493
enhancers::chr10:105369000-105383600::chr10-105381644-105381860::chr10-105381644-105381860	1.089
enhancers::chr10:105385800-105388000::chr10-105387038-105387211::chr10-105387038-105387211	2.281
enhancers::chr10:105637400-105643400::chr10-105638613-105639073::chr10-105638613-105639073	1.6694
enhancers::chr10:105637400-105643400::chr10-105639127-105639623::chr10-105639127-105639623	7.971
enhancers::chr10:105637400-105643400::chr10-105641187-105642135::chr10-105641187-105642135	6.394666667
enhancers::chr10:105637400-105643400::chr10-105642619-105642693::chr10-105642619-105642693	1.318
enhancers::chr10:105661600-105663600::chr10-105662468-105662536::chr10-105662468-105662536	12.39
enhancers::chr10:105701000-105703200::chr10-105701503-105702094::chr10-105701503-105702094	6.314333333
enhancers::chr10:105701000-105703200::chr10-105702577-105702956::chr10-105702577-105702956	3.254
enhancers::chr10:105709200-105709800::chr10-105709229-105709800::chr10-105709229-105709800	3.567
enhancers::chr10:105719000-105719800::chr10-105719000-105719122::chr10-105719000-105719122	8.027
enhancers::chr10:105809000-105815600::chr10-105814305-105814601::chr10-105814305-105814601	6.51
enhancers::chr10:105818800-105820000::chr10-105819124-105819329::chr10-105819124-105819329	0.128
enhancers::chr10:105849000-105851200::chr10-105849429-105849822::chr10-105849429-105849822	13.225
enhancers::chr10:105849000-105851200::chr10-105850249-105850927::chr10-105850249-105850927	4.904166667
enhancers::chr10:105851400-105853200::chr10-105852546-105852980::chr10-105852546-105852980	5.931666667
enhancers::chr10:105858400-105860000::chr10-105859111-105859389::chr10-105859111-105859389	4.235666667
enhancers::chr10:105858400-105860000::chr10-105859832-105860000::chr10-105859832-105860000	1.395
enhancers::chr10:105864400-105865000::chr10-105864686-105864995::chr10-105864686-105864995	2.605
enhancers::chr10:105968600-105969600::chr10-105968600-105968773::chr10-105968600-105968773	5.3665
enhancers::chr10:106024000-106027600::chr10-106024666-106024848::chr10-106024666-106024848	1.781666667
enhancers::chr10:106195800-106196600::chr10-106195800-106195907::chr10-106195800-106195907	2.099
enhancers::chr10:106205000-106208600::chr10-106205162-106205531::chr10-106205162-106205531	3.851
enhancers::chr10:106211400-106212800::chr10-106211400-106211773::chr10-106211400-106211773	7.10675
enhancers::chr10:107409400-107410800::chr10-107410144-107410548::chr10-107410144-107410548	9.290923077
enhancers::chr10:107459400-107460800::chr10-107459944-107460314::chr10-107459944-107460314	14.7215
enhancers::chr10:107461800-107462600::chr10-107461993-107462394::chr10-107461993-107462394	13.75418182
enhancers::chr10:107486400-107487000::chr10-107486400-107486718::chr10-107486400-107486718	4.2401
enhancers::chr10:107486400-107487000::chr10-107486796-107487000::chr10-107486796-107487000	2.437222222
enhancers::chr10:10770400-10771600::chr10-10770453-10770593::chr10-10770453-10770593	1.721833333
enhancers::chr10:10770400-10771600::chr10-10770628-10771462::chr10-10770628-10771462	12.19672727
enhancers::chr10:10773800-10775200::chr10-10773800-10774094::chr10-10773800-10774094	6.5029
enhancers::chr10:10773800-10775200::chr10-10774203-10774425::chr10-10774203-10774425	3.3185
enhancers::chr10:10773800-10775200::chr10-10775095-10775200::chr10-10775095-10775200	2.354
enhancers::chr10:108841200-108842400::chr10-108841200-108841902::chr10-108841200-108841902	5.553636364
enhancers::chr10:108850800-108852400::chr10-108850800-108851261::chr10-108850800-108851261	8.5269
enhancers::chr10:108850800-108852400::chr10-108851891-108852400::chr10-108851891-108852400	4.878454545
enhancers::chr10:10907600-10908400::chr10-10907753-10908346::chr10-10907753-10908346	4.836333333
enhancers::chr10:10973000-10973600::chr10-10973105-10973556::chr10-10973105-10973556	2.5868
enhancers::chr10:11019600-11021200::chr10-11019973-11020250::chr10-11019973-11020250	5.3292
enhancers::chr10:111626400-111627400::chr10-111626400-111626493::chr10-111626400-111626493	5.272
enhancers::chr10:111626400-111627400::chr10-111626583-111626959::chr10-111626583-111626959	4.607
enhancers::chr10:111631800-111632600::chr10-111631800-111631921::chr10-111631800-111631921	8.393
enhancers::chr10:111640000-111642200::chr10-111640879-111641222::chr10-111640879-111641222	8.9405
enhancers::chr10:111867000-111868000::chr10-111867808-111867971::chr10-111867808-111867971	4.401
enhancers::chr10:111878600-111879600::chr10-111879118-111879203::chr10-111879118-111879203	15.38
enhancers::chr10:112045800-112047400::chr10-112046531-112046920::chr10-112046531-112046920	9.23875
enhancers::chr10:112059000-112060200::chr10-112059000-112059028::chr10-112059000-112059028	10.25
enhancers::chr10:112241400-112242200::chr10-112241656-112241978::chr10-112241656-112241978	2.6305
enhancers::chr10:112356800-112358000::chr10-112357225-112357549::chr10-112357225-112357549	2.04
enhancers::chr10:11248400-11259800::chr10-11257460-11257747::chr10-11257460-11257747	1.0665
enhancers::chr10:11265000-11280200::chr10-11265749-11265946::chr10-11265749-11265946	9.105
enhancers::chr10:112862400-112863400::chr10-112862625-112862827::chr10-112862625-112862827	3.0705
enhancers::chr10:11292000-11300600::chr10-11293491-11293987::chr10-11293491-11293987	1.516
enhancers::chr10:113041200-113041800::chr10-113041399-113041543::chr10-113041399-113041543	17.58
enhancers::chr10:113152000-113153400::chr10-113152000-113152267::chr10-113152000-113152267	3.6935
enhancers::chr10:113152000-113153400::chr10-113152564-113153035::chr10-113152564-113153035	5.236285714
enhancers::chr10:113233400-113234000::chr10-113233400-113233592::chr10-113233400-113233592	3.260666667
enhancers::chr10:1133800-1135800::chr10-1134072-1134446::chr10-1134072-1134446	3.3004
enhancers::chr10:1133800-1135800::chr10-1134891-1135779::chr10-1134891-1135779	2.997571429
enhancers::chr10:11358200-11362600::chr10-11360934-11361249::chr10-11360934-11361249	1.839
enhancers::chr10:11366800-11369200::chr10-11367948-11368156::chr10-11367948-11368156	2.75575
enhancers::chr10:113839600-113840600::chr10-113840012-113840343::chr10-113840012-113840343	10.2555
enhancers::chr10:113936200-113937600::chr10-113936951-113937359::chr10-113936951-113937359	6.441888889
enhancers::chr10:113982800-113983800::chr10-113983511-113983770::chr10-113983511-113983770	3.16875
enhancers::chr10:114020800-114023000::chr10-114021019-114021534::chr10-114021019-114021534	2.58275
enhancers::chr10:114025000-114025800::chr10-114025000-114025203::chr10-114025000-114025203	4.2305
enhancers::chr10:114025000-114025800::chr10-114025357-114025800::chr10-114025357-114025800	3.898
enhancers::chr10:114161200-114165200::chr10-114164570-114164675::chr10-114164570-114164675	5.014
enhancers::chr10:114167200-114169200::chr10-114167477-114167841::chr10-114167477-114167841	0.488
enhancers::chr10:114167200-114169200::chr10-114169004-114169200::chr10-114169004-114169200	4.9885
enhancers::chr10:114276600-114279400::chr10-114277204-114277563::chr10-114277204-114277563	4.456833333
enhancers::chr10:114276600-114279400::chr10-114278837-114279319::chr10-114278837-114279319	10.1126
enhancers::chr10:114322600-114323600::chr10-114323181-114323429::chr10-114323181-114323429	16.63333333
enhancers::chr10:1145600-1147200::chr10-1146451-1146635::chr10-1146451-1146635	6.2325
enhancers::chr10:1145600-1147200::chr10-1146955-1147200::chr10-1146955-1147200	2.4745
enhancers::chr10:114679400-114680600::chr10-114679521-114679803::chr10-114679521-114679803	10.6
enhancers::chr10:114693600-114694600::chr10-114694001-114694303::chr10-114694001-114694303	5.411
enhancers::chr10:114698200-114699200::chr10-114698714-114699197::chr10-114698714-114699197	3.535571429
enhancers::chr10:114919800-114921400::chr10-114920456-114920699::chr10-114920456-114920699	12.66916667
enhancers::chr10:114919800-114921400::chr10-114921368-114921400::chr10-114921368-114921400	18.01
enhancers::chr10:114999400-115002400::chr10-115001418-115001826::chr10-115001418-115001826	9.406333333
enhancers::chr10:115625600-115626200::chr10-115625655-115625976::chr10-115625655-115625976	6.662
enhancers::chr10:115653000-115655600::chr10-115654398-115654736::chr10-115654398-115654736	0.766
enhancers::chr10:115704800-115706000::chr10-115704877-115705113::chr10-115704877-115705113	2.748
enhancers::chr10:116343800-116344800::chr10-116344137-116344520::chr10-116344137-116344520	5.69675
enhancers::chr10:116363200-116367200::chr10-116363200-116363381::chr10-116363200-116363381	6.6975
enhancers::chr10:116480600-116484800::chr10-116483748-116484526::chr10-116483748-116484526	3.862083333
enhancers::chr10:116480600-116484800::chr10-116484566-116484786::chr10-116484566-116484786	1.503
enhancers::chr10:116486200-116486800::chr10-116486519-116486800::chr10-116486519-116486800	2.934
enhancers::chr10:116488800-116489800::chr10-116488883-116489654::chr10-116488883-116489654	1.0822
enhancers::chr10:116548200-116549200::chr10-116548664-116548892::chr10-116548664-116548892	2.523
enhancers::chr10:116554400-116555200::chr10-116554470-116554729::chr10-116554470-116554729	14.52
enhancers::chr10:116559400-116562400::chr10-116560197-116560406::chr10-116560197-116560406	15
enhancers::chr10:116559400-116562400::chr10-116561065-116561696::chr10-116561065-116561696	4.3352
enhancers::chr10:116566200-116567200::chr10-116566734-116567110::chr10-116566734-116567110	9.7525
enhancers::chr10:116570400-116572200::chr10-116570680-116571032::chr10-116570680-116571032	7.8995
enhancers::chr10:116570400-116572200::chr10-116571537-116572069::chr10-116571537-116572069	3.1236
enhancers::chr10:116664600-116666600::chr10-116665239-116665527::chr10-116665239-116665527	10.76733333
enhancers::chr10:1166800-1168600::chr10-1167285-1167395::chr10-1167285-1167395	1.139
enhancers::chr10:116702400-116703600::chr10-116702798-116703110::chr10-116702798-116703110	1.593
enhancers::chr10:11673400-11674800::chr10-11674241-11674577::chr10-11674241-11674577	12.61
enhancers::chr10:117641200-117642200::chr10-117641723-117641843::chr10-117641723-117641843	7.966
enhancers::chr10:117716000-117716800::chr10-117716592-117716800::chr10-117716592-117716800	5.111
enhancers::chr10:117975200-117976200::chr10-117975200-117975854::chr10-117975200-117975854	13.5775
enhancers::chr10:118177200-118181000::chr10-118177312-118178320::chr10-118177312-118178320	3.27
enhancers::chr10:118177200-118181000::chr10-118178384-118178958::chr10-118178384-118178958	3.421625
enhancers::chr10:118177200-118181000::chr10-118179409-118179794::chr10-118179409-118179794	6.9234
enhancers::chr10:118177200-118181000::chr10-118180826-118181000::chr10-118180826-118181000	3.216
enhancers::chr10:118190000-118191800::chr10-118190000-118190254::chr10-118190000-118190254	9.546
enhancers::chr10:118190000-118191800::chr10-118191135-118191412::chr10-118191135-118191412	0.201
enhancers::chr10:118194200-118194800::chr10-118194220-118194634::chr10-118194220-118194634	2.541
enhancers::chr10:118195600-118197600::chr10-118196578-118197032::chr10-118196578-118197032	3.3614
enhancers::chr10:118200400-118201200::chr10-118200400-118200676::chr10-118200400-118200676	1.4875
enhancers::chr10:118301600-118302200::chr10-118301600-118302059::chr10-118301600-118302059	4.703285714
enhancers::chr10:118314800-118315800::chr10-118315636-118315761::chr10-118315636-118315761	2.095
enhancers::chr10:118722200-118724000::chr10-118722200-118722386::chr10-118722200-118722386	2.703
enhancers::chr10:118749000-118750200::chr10-118749100-118749298::chr10-118749100-118749298	7.768
enhancers::chr10:118807400-118808600::chr10-118807822-118807949::chr10-118807822-118807949	13.77
enhancers::chr10:118807400-118808600::chr10-118807955-118808021::chr10-118807955-118808021	15.24
enhancers::chr10:11921800-11929600::chr10-11926230-11926689::chr10-11926230-11926689	1.1082
enhancers::chr10:11921800-11929600::chr10-11927228-11927374::chr10-11927228-11927374	1.202
enhancers::chr10:11921800-11929600::chr10-11928802-11929267::chr10-11928802-11929267	3.529
enhancers::chr10:119309400-119310200::chr10-119309470-119310165::chr10-119309470-119310165	12.77136364
enhancers::chr10:11972600-11973200::chr10-11972677-11973073::chr10-11972677-11973073	5.36275
enhancers::chr10:119821800-119822800::chr10-119822300-119822699::chr10-119822300-119822699	3.391
enhancers::chr10:120005400-120006800::chr10-120005851-120006175::chr10-120005851-120006175	14.42433333
enhancers::chr10:120470000-120470600::chr10-120470063-120470316::chr10-120470063-120470316	4.027
enhancers::chr10:120610400-120611600::chr10-120610670-120610865::chr10-120610670-120610865	4.71125
enhancers::chr10:120610400-120611600::chr10-120611234-120611582::chr10-120611234-120611582	1.9046
enhancers::chr10:120871400-120876400::chr10-120871661-120871931::chr10-120871661-120871931	3.996
enhancers::chr10:120871400-120876400::chr10-120875922-120876334::chr10-120875922-120876334	6.323
enhancers::chr10:120896600-120897800::chr10-120897537-120897682::chr10-120897537-120897682	1.965
enhancers::chr10:120904000-120905200::chr10-120904000-120904489::chr10-120904000-120904489	3.57725
enhancers::chr10:120904000-120905200::chr10-120904661-120905141::chr10-120904661-120905141	1.94
enhancers::chr10:120918800-120921000::chr10-120918828-120919233::chr10-120918828-120919233	5.8985
enhancers::chr10:12098600-12099200::chr10-12098866-12099005::chr10-12098866-12099005	1.485
enhancers::chr10:121084200-121086200::chr10-121084680-121084921::chr10-121084680-121084921	2.8205
enhancers::chr10:121334600-121336200::chr10-121335440-121335975::chr10-121335440-121335975	2.408
enhancers::chr10:121340800-121342000::chr10-121341541-121341609::chr10-121341541-121341609	9.716
enhancers::chr10:121398000-121399200::chr10-121398528-121398897::chr10-121398528-121398897	3.4848
enhancers::chr10:121428400-121442200::chr10-121430296-121430564::chr10-121430296-121430564	6.662
enhancers::chr10:121428400-121442200::chr10-121430837-121431175::chr10-121430837-121431175	3.42525
enhancers::chr10:121428400-121442200::chr10-121432771-121433089::chr10-121432771-121433089	3.80775
enhancers::chr10:121428400-121442200::chr10-121436794-121436961::chr10-121436794-121436961	16.64
enhancers::chr10:121580400-121581400::chr10-121580818-121581043::chr10-121580818-121581043	6.945
enhancers::chr10:121593400-121594200::chr10-121593722-121594047::chr10-121593722-121594047	3.699
enhancers::chr10:121615600-121616800::chr10-121616654-121616800::chr10-121616654-121616800	3.085
enhancers::chr10:121690000-121690800::chr10-121690618-121690785::chr10-121690618-121690785	1.5525
enhancers::chr10:121691000-121693400::chr10-121692218-121692496::chr10-121692218-121692496	15.7025
enhancers::chr10:121691000-121693400::chr10-121692792-121693026::chr10-121692792-121693026	9.562
enhancers::chr10:121798200-121799000::chr10-121798638-121798817::chr10-121798638-121798817	12.28
enhancers::chr10:12196600-12197800::chr10-12196911-12197125::chr10-12196911-12197125	2.008
enhancers::chr10:122146600-122147400::chr10-122146600-122146880::chr10-122146600-122146880	2.642666667
enhancers::chr10:122155400-122156200::chr10-122155803-122155947::chr10-122155803-122155947	8.109
enhancers::chr10:122181800-122183800::chr10-122182010-122182381::chr10-122182010-122182381	6.3375
enhancers::chr10:122181800-122183800::chr10-122182959-122183149::chr10-122182959-122183149	8.323666667
enhancers::chr10:122264200-122265000::chr10-122264588-122264832::chr10-122264588-122264832	6.8725
enhancers::chr10:122444200-122445200::chr10-122444581-122445142::chr10-122444581-122445142	2.147181818
enhancers::chr10:12250200-12251000::chr10-12250325-12251000::chr10-12250325-12251000	3.1715
enhancers::chr10:122600800-122601600::chr10-122601384-122601600::chr10-122601384-122601600	8.0695
enhancers::chr10:122656400-122657200::chr10-122656967-122657166::chr10-122656967-122657166	2.649
enhancers::chr10:12265800-12267200::chr10-12265975-12266248::chr10-12265975-12266248	2.5114
enhancers::chr10:12265800-12267200::chr10-12266305-12266448::chr10-12266305-12266448	3.99
enhancers::chr10:12277400-12278200::chr10-12277875-12278083::chr10-12277875-12278083	11.61666667
enhancers::chr10:122822800-122823600::chr10-122823265-122823552::chr10-122823265-122823552	7.488
enhancers::chr10:123218800-123220000::chr10-123219115-123219613::chr10-123219115-123219613	9.543
enhancers::chr10:123255000-123256200::chr10-123255771-123256039::chr10-123255771-123256039	14.72
enhancers::chr10:123315800-123318800::chr10-123317857-123318057::chr10-123317857-123318057	7.2755
enhancers::chr10:123414600-123415200::chr10-123414917-123415042::chr10-123414917-123415042	2.754666667
enhancers::chr10:123563800-123564600::chr10-123563989-123564344::chr10-123563989-123564344	8.173
enhancers::chr10:12362800-12365400::chr10-12363728-12363974::chr10-12363728-12363974	2.499
enhancers::chr10:123972800-123973800::chr10-123973016-123973575::chr10-123973016-123973575	9.48375
enhancers::chr10:123980000-123981400::chr10-123980879-123981089::chr10-123980879-123981089	0.321
enhancers::chr10:124005600-124007200::chr10-124006458-124007040::chr10-124006458-124007040	5.6885
enhancers::chr10:124267200-124270400::chr10-124267256-124267475::chr10-124267256-124267475	8.7345
enhancers::chr10:124267200-124270400::chr10-124269734-124270400::chr10-124269734-124270400	3.486
enhancers::chr10:124300000-124304400::chr10-124301118-124301396::chr10-124301118-124301396	2.608666667
enhancers::chr10:124346800-124347800::chr10-124346915-124347293::chr10-124346915-124347293	1.6578
enhancers::chr10:124396400-124397200::chr10-124396400-124396623::chr10-124396400-124396623	2.406
enhancers::chr10:124396400-124397200::chr10-124396834-124396896::chr10-124396834-124396896	6.205
enhancers::chr10:124396400-124397200::chr10-124397003-124397200::chr10-124397003-124397200	7.425
enhancers::chr10:124699600-124700400::chr10-124699600-124699911::chr10-124699600-124699911	1.033
enhancers::chr10:124802800-124804000::chr10-124802952-124803163::chr10-124802952-124803163	3.014
enhancers::chr10:124903200-124907200::chr10-124906612-124906766::chr10-124906612-124906766	2.6006
enhancers::chr10:124918400-124922000::chr10-124920200-124920409::chr10-124920200-124920409	2.394
enhancers::chr10:124972200-124973000::chr10-124972838-124972991::chr10-124972838-124972991	2.412
enhancers::chr10:124989600-124990400::chr10-124989828-124990070::chr10-124989828-124990070	16.56333333
enhancers::chr10:125060600-125061600::chr10-125060676-125060912::chr10-125060676-125060912	11.212
enhancers::chr10:125138400-125139000::chr10-125138762-125138981::chr10-125138762-125138981	2.288
enhancers::chr10:125296200-125297200::chr10-125296980-125297200::chr10-125296980-125297200	3.926
enhancers::chr10:125398600-125400200::chr10-125399490-125399962::chr10-125399490-125399962	1.778666667
enhancers::chr10:125486200-125487200::chr10-125486372-125486709::chr10-125486372-125486709	4.172333333
enhancers::chr10:125982800-125985400::chr10-125983406-125984467::chr10-125983406-125984467	2.754333333
enhancers::chr10:126246200-126250200::chr10-126247675-126247921::chr10-126247675-126247921	3.73325
enhancers::chr10:126361800-126368000::chr10-126363575-126363789::chr10-126363575-126363789	7.571
enhancers::chr10:126385000-126389400::chr10-126387689-126387895::chr10-126387689-126387895	2.765
enhancers::chr10:126664600-126666400::chr10-126665856-126666072::chr10-126665856-126666072	3.3755
enhancers::chr10:126889400-126890800::chr10-126889642-126890110::chr10-126889642-126890110	3.685333333
enhancers::chr10:126889400-126890800::chr10-126890425-126890800::chr10-126890425-126890800	1.381333333
enhancers::chr10:127446000-127446800::chr10-127446768-127446800::chr10-127446768-127446800	3.372
enhancers::chr10:127481000-127481600::chr10-127481000-127481595::chr10-127481000-127481595	4.65275
enhancers::chr10:127491000-127492400::chr10-127491364-127491567::chr10-127491364-127491567	3.829
enhancers::chr10:127517400-127518400::chr10-127517736-127518036::chr10-127517736-127518036	3.3745
enhancers::chr10:127532200-127534400::chr10-127532234-127532430::chr10-127532234-127532430	0.102
enhancers::chr10:127661400-127662200::chr10-127661400-127661759::chr10-127661400-127661759	5.323
enhancers::chr10:127661400-127662200::chr10-127661845-127661921::chr10-127661845-127661921	3.048
enhancers::chr10:127690000-127691200::chr10-127690217-127690397::chr10-127690217-127690397	1.8225
enhancers::chr10:128282400-128284400::chr10-128282705-128282903::chr10-128282705-128282903	3.7385
enhancers::chr10:128282400-128284400::chr10-128283657-128283986::chr10-128283657-128283986	8.965
enhancers::chr10:128334800-128336600::chr10-128334800-128335012::chr10-128334800-128335012	10.36
enhancers::chr10:128339400-128341400::chr10-128340106-128340330::chr10-128340106-128340330	1.6922
enhancers::chr10:128346400-128354800::chr10-128346828-128346915::chr10-128346828-128346915	3.151
enhancers::chr10:128346400-128354800::chr10-128347393-128347979::chr10-128347393-128347979	2.218625
enhancers::chr10:128346400-128354800::chr10-128350000-128350229::chr10-128350000-128350229	0.064
enhancers::chr10:128375000-128376400::chr10-128375000-128375310::chr10-128375000-128375310	0.966
enhancers::chr10:128375000-128376400::chr10-128375644-128376236::chr10-128375644-128376236	4.219875
enhancers::chr10:128403000-128403800::chr10-128403324-128403451::chr10-128403324-128403451	0.6376666667
enhancers::chr10:128466000-128467000::chr10-128466382-128466559::chr10-128466382-128466559	1.437333333
enhancers::chr10:128555800-128556800::chr10-128555983-128556596::chr10-128555983-128556596	3.5
enhancers::chr10:128561000-128562000::chr10-128561385-128561606::chr10-128561385-128561606	3.542
enhancers::chr10:128612400-128614800::chr10-128613499-128613935::chr10-128613499-128613935	2.178
enhancers::chr10:128612400-128614800::chr10-128614227-128614594::chr10-128614227-128614594	2.7695
enhancers::chr10:128831600-128832400::chr10-128831875-128832267::chr10-128831875-128832267	4.754666667
enhancers::chr10:129173000-129173800::chr10-129173220-129173574::chr10-129173220-129173574	1.4205
enhancers::chr10:129206200-129207000::chr10-129206440-129206706::chr10-129206440-129206706	3.547
enhancers::chr10:12983600-12984600::chr10-12983600-12983966::chr10-12983600-12983966	5.8018
enhancers::chr10:12983600-12984600::chr10-12984100-12984334::chr10-12984100-12984334	6.501
enhancers::chr10:131350400-131351000::chr10-131350400-131350881::chr10-131350400-131350881	1.121142857
